2025-10-08T00:40:23.237-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\Usuario\Desktop\TP-Grupo4-Ecotrack\target\classes\com\example\tpgrupo4ecotrack\Controller\SElectrodomesticoController.class]
2025-10-08T00:40:23.238-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\Usuario\Desktop\TP-Grupo4-Ecotrack\target\classes\com\example\tpgrupo4ecotrack\Controller\SRopaController.class]
2025-10-08T00:40:23.238-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\Usuario\Desktop\TP-Grupo4-Ecotrack\target\classes\com\example\tpgrupo4ecotrack\Controller\SServicioViviendaController.class]
2025-10-08T00:40:23.239-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\Usuario\Desktop\TP-Grupo4-Ecotrack\target\classes\com\example\tpgrupo4ecotrack\Controller\UsuarioController.class]
2025-10-08T00:40:23.257-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\Usuario\Desktop\TP-Grupo4-Ecotrack\target\classes\com\example\tpgrupo4ecotrack\Security\JwtAuthenticationFilter.class]
2025-10-08T00:40:23.257-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\Usuario\Desktop\TP-Grupo4-Ecotrack\target\classes\com\example\tpgrupo4ecotrack\Security\JwtTokenUtil.class]
2025-10-08T00:40:23.258-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\Usuario\Desktop\TP-Grupo4-Ecotrack\target\classes\com\example\tpgrupo4ecotrack\Security\UserService.class]
2025-10-08T00:40:23.263-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\Usuario\Desktop\TP-Grupo4-Ecotrack\target\classes\com\example\tpgrupo4ecotrack\Security\WebSecurityConfig.class]
2025-10-08T00:40:23.264-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\Usuario\Desktop\TP-Grupo4-Ecotrack\target\classes\com\example\tpgrupo4ecotrack\Service\CategoriaService.class]
2025-10-08T00:40:23.265-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\Usuario\Desktop\TP-Grupo4-Ecotrack\target\classes\com\example\tpgrupo4ecotrack\Service\ConsumoService.class]
2025-10-08T00:40:23.265-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\Usuario\Desktop\TP-Grupo4-Ecotrack\target\classes\com\example\tpgrupo4ecotrack\Service\FactorEmisionService.class]
2025-10-08T00:40:23.265-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\Usuario\Desktop\TP-Grupo4-Ecotrack\target\classes\com\example\tpgrupo4ecotrack\Service\HuellaCarbonoService.class]
2025-10-08T00:40:23.266-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\Usuario\Desktop\TP-Grupo4-Ecotrack\target\classes\com\example\tpgrupo4ecotrack\Service\ResultadoDetalleService.class]
2025-10-08T00:40:23.266-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\Usuario\Desktop\TP-Grupo4-Ecotrack\target\classes\com\example\tpgrupo4ecotrack\Service\ResultadoEquivalenciaService.class]
2025-10-08T00:40:23.267-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\Usuario\Desktop\TP-Grupo4-Ecotrack\target\classes\com\example\tpgrupo4ecotrack\Service\ResultadoService.class]
2025-10-08T00:40:23.267-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\Usuario\Desktop\TP-Grupo4-Ecotrack\target\classes\com\example\tpgrupo4ecotrack\Service\SAlimentoService.class]
2025-10-08T00:40:23.268-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\Usuario\Desktop\TP-Grupo4-Ecotrack\target\classes\com\example\tpgrupo4ecotrack\Service\SAutobusService.class]
2025-10-08T00:40:23.268-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\Usuario\Desktop\TP-Grupo4-Ecotrack\target\classes\com\example\tpgrupo4ecotrack\Service\SCocheService.class]
2025-10-08T00:40:23.268-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\Usuario\Desktop\TP-Grupo4-Ecotrack\target\classes\com\example\tpgrupo4ecotrack\Service\SElectrodomesticoService.class]
2025-10-08T00:40:23.269-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\Usuario\Desktop\TP-Grupo4-Ecotrack\target\classes\com\example\tpgrupo4ecotrack\Service\SRopaService.class]
2025-10-08T00:40:23.269-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\Usuario\Desktop\TP-Grupo4-Ecotrack\target\classes\com\example\tpgrupo4ecotrack\Service\SServicioViviendaService.class]
2025-10-08T00:40:23.269-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\Usuario\Desktop\TP-Grupo4-Ecotrack\target\classes\com\example\tpgrupo4ecotrack\Service\UsuarioService.class]
2025-10-08T00:40:23.270-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\Usuario\Desktop\TP-Grupo4-Ecotrack\target\classes\com\example\tpgrupo4ecotrack\Util\CorsConfig.class]
2025-10-08T00:40:23.271-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\Usuario\Desktop\TP-Grupo4-Ecotrack\target\classes\com\example\tpgrupo4ecotrack\Util\OpenAPIConfig.class]
2025-10-08T00:40:23.767-05:00  INFO 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-10-08T00:40:23.772-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages'
2025-10-08T00:40:23.776-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.b.a.AutoConfigurationPackages        : @EnableAutoConfiguration was declared on a class in the package 'com.example.tpgrupo4ecotrack'. Automatic @Repository and @Entity scanning is enabled.
2025-10-08T00:40:23.777-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Scanning for JPA repositories in packages com.example.tpgrupo4ecotrack.
2025-10-08T00:40:23.784-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\Usuario\Desktop\TP-Grupo4-Ecotrack\target\classes\com\example\tpgrupo4ecotrack\Repository\CategoriaRepository.class]
2025-10-08T00:40:23.784-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\Usuario\Desktop\TP-Grupo4-Ecotrack\target\classes\com\example\tpgrupo4ecotrack\Repository\FactorEmisionRepository.class]
2025-10-08T00:40:23.784-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\Usuario\Desktop\TP-Grupo4-Ecotrack\target\classes\com\example\tpgrupo4ecotrack\Repository\HuellaCarbonoRepository.class]
2025-10-08T00:40:23.785-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\Usuario\Desktop\TP-Grupo4-Ecotrack\target\classes\com\example\tpgrupo4ecotrack\Repository\ResultadoDetalleRepository.class]
2025-10-08T00:40:23.785-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\Usuario\Desktop\TP-Grupo4-Ecotrack\target\classes\com\example\tpgrupo4ecotrack\Repository\ResultadoEquivalenciaRepository.class]
2025-10-08T00:40:23.785-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\Usuario\Desktop\TP-Grupo4-Ecotrack\target\classes\com\example\tpgrupo4ecotrack\Repository\ResultadoRepository.class]
2025-10-08T00:40:23.785-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\Usuario\Desktop\TP-Grupo4-Ecotrack\target\classes\com\example\tpgrupo4ecotrack\Repository\RoleRepository.class]
2025-10-08T00:40:23.785-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\Usuario\Desktop\TP-Grupo4-Ecotrack\target\classes\com\example\tpgrupo4ecotrack\Repository\SAlimentoRepository.class]
